Source,FIPS,State,city/county,city/county_status,project_id,number,start_date,stop_date,department,lou_category,amount,project_name,category,subcategory,description,suggested_cat,suggested_subcat,Notes,start_date,stop_date
,21111,KY,Louisville,city,ARP-0047-DEL,0047,none,none,DEL,Healthy Neighborhoods,10000000,Rhodia Brownfields Remediation,6,1,"Rhodia was an old manufacturing facility. It is now a large brownfield in the Algonquin/Park Hill neighborhoods and the buildings have been demolished. This project will provide funding for remediation of the contamination at Rhodia, which will allow for the property to be redeveloped with affordable housing and mixed use. Once redeveloped, the site will provide community benefits including green space for the city.",,,,,
,21111,KY,Louisville,city,ARP-0048-PHW,0048,7/31/2022,12/31/2024,PHW,Healthy Neighborhoods,1000000,Lead Free Louisville,,,,,,,,
,21111,KY,Louisville,city,ARP-0049-PAR,0049,none,none,PAR,Healthy Neighborhoods,2500000,Chickasaw Park Pond,6,1,"The Chickasaw pond is the only flatwater recreational amenity in west Louisville. The condition of the pond has deteriorated due to siltation that has resulted in extremely shallow conditions leading to periodic algal blooms which will not support a viable fish community. As a result, this pond has not met its full potential as a public amenity for decades and residents of west Louisville have experienced unequal access to a basic park amenity that is available to residents in other areas of Louisville. This project will restore Chickasaw Park pond for use by the community.",,,,,
,21111,KY,Louisville,city,ARP-0050-DEL,0050,none,none,DEL,Healthy Neighborhoods,6000000,Baxter Community Center,6,1,"The Baxter Community Center is a beloved landmark that has served as Beecher Terrace’s supportive service, recreational and social epicenter since its inception in 1940. All existing building components require updates or replacement, and a 4,525 square foot wing will be added that allows for an ADA-compliant ramp, check-in desk, office and lounge, as well as a new stairway and elevator. In addition, a new park will be created at the location of 13th Street and Muhammad Ali Blvd. This 5.74-acre park will be located on a former Brownfield directly adjacent to Beecher Terrace, thus expanding the site’s footprint. The enhanced park - which will feature a multi-use sports field, tennis and basketball courts, accessible playground, outdoor exercise stations, splash pad, walking path, areas for games, a pavilion, plaza and parking - replaces the 3.59-acre Old Walnut Street Park, originally located on-site.",,,,,
,21111,KY,Louisville,city,ARP-0051-LIB,0051,none,none,LIB,Healthy Neighborhoods,8000000,Main Library,6,1,"Our goal with this Main Library project is to increase the square footage of the library to continue closing the gap between the KY state standard for Library square footage per capita and the current LPFL metric. The primary objective will be to improve the level of services available at the Main Library so that it is on a par with newer Regional Libraries in the Southwest, South Central, and Northeast regions of Louisville Metro. This project will also alleviate the current issues at Main with inadequate space for books and other materials, library owned vehicles, and staff workspaces. Space in the “stacks” area of the 1906 Carnegie Library building will be reactivated to enable its use as public space, at the same time creating a dramatic entrance from either the North or South, which improves on the connectivity between the two existing buildings.",,,,,
,21111,KY,Louisville,city,ARP-0052-LIB,0052,none,none,LIB,Healthy Neighborhoods,800000,Portland Library,6,1,"The Portland Library branch is currently too small, lacks adequate accessibility, and needs modernization to bring it up to par with other branches in the system. This project will fully renovate the existing building and address issues with accessibility, water intrusion, and quality of fixtures and furnishings. Included in the project is the construction of a 4,500sf addition to enable a much larger materials collection, more computers, additional meeting room space, better accessibility, and a user experience comparable to that at library branches in other neighborhoods.",,,,,
,21111,KY,Louisville,city,ARP-0053-LIB,0053,none,none,LIB,Healthy Neighborhoods,800000,Parkland Library,6,1,"This project will reopen the Parkland Branch Library by renovating the 6,000 sf building allowing us to provide access to a materials collection of over 20,000 items, as well as 30 or more public computers, a meeting room for use by the public, and space for library early childhood literacy programming. This project will install an elevator to make both floors accessible and redesign the floorplan layout for use as a public library, and upgrade electrical service and interior wiring to support a network of computers for use by the public and staff.",,,,,
,21111,KY,Louisville,city,ARP-0054-PAR,0054,none,none,PAR,Healthy Neighborhoods,500000,Iroquois Park Tennis Courts,6,1,"Iroquois Park is a major urban park serving council districts 12, 15, and 21 with an estimated population served of over 100,000. This project will renovate a tennis court complex and provide a free and safe environment for outdoor recreation.",,,,,
,21111,KY,Louisville,city,ARP-0055-PAR,0055,none,none,PAR,Healthy Neighborhoods,200000,Berrytown Park,6,1,"Berrytown Park is a community park serving Council District 17. It also includes a community center that is home to Metro's AIR (Adaptive and Inclusive Recreation) program. The AIR program has provided recreational opportunities for youth and adults with disabilities and has partnered with organizations such as the Special Olympics, Kentucky School for the Blind, and others. The goal with this project is to improve the park following public input in an ongoing process.",,,,,
,21111,KY,Louisville,city,ARP-0056-PAR,0056,none,none,PAR,Healthy Neighborhoods,500000,Elliott Park Master Plan Implementation,6,1,"Elliot Park is on the West side of the Russell Neighborhood and has not seen significant capital investments since 1998. The park needs redevelopment and upgrades in order to keep it a relevant fixture in the Russell Neighborhood, which has recently seen major investment in residential and commercial properties. Elliot Park has approximately 2,700 people residing within a 10-minute walk of the park with a makeup of 30% children and 15% seniors. Furthermore, approximately 70% of this population are considered low-income residents according to the Trust for Public Lands Data Analysis Tool. The focus of the master plan process and design qualities include equity, accessibility, and sustainability. Many of these significant park qualities have been lost over the years due to lack of significant investments. This project will address these issues and bring Elliot Park up to current park standards making it a neighborhood destination and point of civic pride in the Russell Neighborhood again.",,,,,
,21111,KY,Louisville,city,ARP-0057-PAR,0057,none,none,PAR,Healthy Neighborhoods,5000000,Swimming Pools,6,1,"facilities in neighborhoods that lack such facilities and to increase the number of youth and adults who learn to swim and use the pool for healthy recreation. Improved programing for all ages including lifeguard training (skill development and job training), aerobic classes, swim lessons and recreational swimming will result in better health and improved safety for all participants and help reduce the gap in aquatic recreation and lifesaving skill development. The project will fund the plan development/construction of a new aquatic facility and allow Parks and Recreation to bring old outdoor swimming pools up-to-date and make it a relevant aquatic facility. A modern aquatic facility will increase the number of users.",,,,,
,21111,KY,Louisville,city,ARP-0058-LIB,0058,none,10/31/2023,LIB,Healthy Neighborhoods,5000000,Fern Creek Library,6,1,"This project will reopen a library branch in the Fern Creek area. Ideally, the branch would be located further south on the Bardstown Road corridor than the previous location, in recognition of the growing population in the southeastern 
part of the county and outside of the Gene Snyder Freeway. The Fern Creek Library was closed in 2018 due to budget issues. Prior to the closure it operated in a leased space and was the 8th busiest branch in the system for materials circulation. 
Funding for the project will be used to bid out design and construction, acquire all the necessary equipment and supplies, and hire staff to operate the branch. This will require approximately $500,000 per year in new operating costs.",,,,,
,21111,KY,Louisville,city,ARP-0059-CIT,0059,none,none,CIT,Healthy Neighborhoods,2000000,Broadband,,,,,,,,
,21111,KY,Louisville,city,ARP-0060-SHN,0060,none,none,SHN,Public Safety,8500000,Office of Youth Development,6,1,Funding for a three year comprehensive and accessible Youth Development System for Louisville Youth (10-24) to access a variety of services and programs and improve public safety.,,,,,
,21111,KY,Louisville,city,ARP-0061-ECD,0061,none,none,ECD,Workforce Development,2500000,Comprehensive Reentry Employment Services,,,,,,,,
,21111,KY,Louisville,city,ARP-0062-DEL,0062,none,none,EDL,Healthy Neighborhoods,6000000,University of Louisville Environmental Institute Healthy Building Research Complex and Parkscape,,,,,,,,
,21111,KY,Louisville,city,ARP-0063-DEL,0063,none,none,EDL,Healthy Neighborhoods,7500000,Early Learning,2,14,"To respond to the devasting impacts of COVID-19, ArtsWave will design and carry out 2 distinct support grant programs: Operating Relief Grants to Arts Organizations and Public Performance/Events Grants. ArtsWorks will implement a high-quality year-round employment program that is transformative to youth and the City. Year one ArtsWorks will launch one creative enterprise studio and one civic studio to employee 20 youth. In year two an additional creative enterprise studio will be created to employee a total of 50 youth. The LFRF funds enable CCAC to provide classes, events, performances, and community gatherings to a historically disadvantaged population of households as well as education recovery efforts to children in Cincinnati Public Schools who experienced more than a year and a half of remote-only instruction. Arts and culture education and community-building opportunities build cohesion, improve educational and social/emotional outcomes, and improve the economic vitality of our community. This assistance is designed to assist CCAC through September 30th, 2024.",,,,,
,39061,OH,Cincinatti,city,ARP001,,,,,Healthy Neighborhoods,2000000,Outdoor Dining & Pedestrian Safety,2,36,"In collaboration with OTR Holdings LLC, the completion of Public Infrastructure Improvements is intended to support small businesses and enhance public safety during and after the COVID-19 pandemic by providing additional outdoor capacity to facilitate social distancing and safe, outdoor patronage. Additionally, the improvements are intended to increase pedestrian safety and promote use of the additional outdoor spaces to promote an active urban core that will support businesses, tourism, and other economic activity.",,,,,
,39061,OH,Cincinatti,city,ARP002,,,,,Healthy Neighborhoods,4000000,Restaurant Grants Phase II,2,35,This program is to support eligible establishments by providing operating grants to provide financial assistance in safe reopening and maintaining of business operations and recovery of employment opportunities in this industry.,,,,,
,39061,OH,Cincinatti,city,ARP004,,,,,Healthy Neighborhoods,7000000,Performing Arts Support Grants,2,35,"To respond to the devasting impacts of COVID-19, ArtsWave will design and carry out 2 distinct support grant programs: Operating Relief Grants to Arts Organizations and Public Performance/Events Grants.",,,,,
,39061,OH,Cincinatti,city,ARP010,,,,,Workforce Development,500000,ArtsWorks Youth Employment Initiative,2,10,ArtsWorks will implement a high-quality year-round employment program that is transformative to youth and the City. Year one ArtsWorks will launch one creative enterprise studio and one civic studio to employee 20 youth. In year two an additional creative enterprise studio will be created to employee a total of 50 youth.,,,,,
,39061,OH,Cincinatti,city,ARP012,,,,,Healthy Neighborhoods,650000,Clifton Cultural Arts Center (CCAC) Operational Costs,2,24,"The LFRF funds enable CCAC to provide classes, events, performances, and community gatherings to a historically disadvantaged population of households as well as education recovery efforts to children in Cincinnati Public Schools who experienced more than a year and a half of remote-only instruction. Arts and culture education and community-building opportunities build cohesion, improve educational and social/emotional outcomes, and improve the economic vitality of our community. This assistance is designed to assist CCAC through September 30th, 2024.",,,,,
,39061,OH,Cincinatti,city,ARP013,,,,,Healthy Neighborhoods,1000000,Public Museum Support,2,35,"Additionally, museums and art galleries support the tourism industry, driving additional economic and employment benefits in the region. Cincinnati museums and historical sites experienced a 19% drop in employment over prepandemic level. Therefore, ArtsWave shall design and carry out an economic support program for eligible non-profit museums and non-profit, non-commercial galleries. ArtsWave shall administer the distribution of operational relief to help rebuild Cincinnati’s visual arts institutions in the wake of the loss of tens of millions of dollars due to lost visitation, membership, rental, and other revenue because of the pandemic. All grant funds are to be distributed by September 30th , 2021, with final reports due from the recipients by December 31st, 2022.",,,,,
,39061,OH,Cincinatti,city,ARP016,,,,,Healthy Neighborhoods,500000,CEAI,2,23,"house a grocery store (in a food desert), a commercial kitchen, two retail commercial spaces and an internet café. The reduction of debt on this project will allow CEAI to charge below market rent to potential commercial tenants, to allow more small businesses access to brick-and-mortar space. The project is to be completed by December 31st, 2022, and the desired outcomes are intended to add food, coffee and affordable brick and mortar space in a low to moderate income community providing the opportunity for improvement in quality of life to community residents",,,,,
,39061,OH,Cincinatti,city,ARP017,,,,,Healthy Neighborhoods,1750000,Neighborhood Activation Fund,2,34,"Responding to the negative economic impacts of the COVID-19 pandemic through aid to nonprofit neighborhood organizations is the goal of the Neighborhood Activation Fund (NAF). Eligible applicants will consist of community councils, community business associations, community development corporations, and other neighborhood serving non-profit entities. Funds will be utilized to support neighborhood non-profit organizations and their neighborhood of activity and will alleviate the issues created by the COVID-19 public health emergency within the organization and its neighborhood(s) of service.",,,,,
,39061,OH,Cincinatti,city,ARP018,,,,,Workforce Development,2500000,Minority Business Accelerator/Ascend,2,30,"The Supporting Organizations will provide critical knowledge, business counseling/assistance, and subject matter expertise to substantially increase the likelihood of success, sustainability, and growth to companies impacted by COVID-19. Each Supporting Organization shall develop specific capacity building offerings for eligible impacted businesses. L&G shall oversee the administration of the capacity building services by each Supporting Organization. L&G will also implement a grant program to disburse operational relief grants. The relief grants will help businesses that suffered losses due to the disproportionate impact of COVID-19 in certain segments of the Cincinnati business community and/or suffered a loss of job and/or income, etc., which caused an individual to start a business based in the City of Cincinnati. Supporting Organizations will provide capacity building support targeted at growth, back-office support in the areas of accounting, HR, marketing, etc., business coaching and other capacity building assistance as agreed upon with L&G.",,,,,
,39061,OH,Cincinatti,city,ARP021,,,,,Affordable Housing,2500000,Port Authority Affordable Housing Projects,2,15,"The City of Cincinnati will use American Rescue Plan Act (ARPA) funds to help low to moderate income persons and families achieve homeownership that the pandemic, among other factors, has made more difficult. The Port Authority of Greater Cincinnati Development Authority will serve as the City’s implementation partner to help increase the supply of affordable and high-quality living units by creating low income and workforce housing opportunities for families while helping to stabilize and increase homeownership in the City of Cincinnati. The goal is to construct/renovate approximately 40 homes by December 31st, 2024.",,,,,
,39061,OH,Cincinatti,city,ARP022,,,,,Healthy Neighborhoods,1700000,CVB,2,35,"The tourism, travel, and hospitality industry within the City of Cincinnati has been particularly impacted, with approximately 187 convention groups and 183,000 hotel room stays being cancelled since March 2020 due to the COVID-19 pandemic, which has caused the Greater Cincinnati Convention & Visitors Bureau (CVB) to experience a significant loss of revenue and staff.",,,,,
,39061,OH,Cincinatti,city,ARP025,,,,,Healthy Neighborhoods,2000000,Social Services Operational Grants,2,34,"The United Way of Greater Cincinnati will administer and manage the City’s Non-profit Hardship Fund for the benefit of eligible human services organizations. The United Way shall provide eligible organizations who apply for one-time operating grants in the amount equal to that which had been previously refunded, waived, or returned to the City from contracts executed in the fiscal year 2020. This project is designed to provide aid through July 31st, 2022. Performance Report Number of non-profits served: 47",,,,,
,39061,OH,Cincinatti,city,ARP028,,,,,Healthy Neighborhoods,2000000,Neighborhood Activation Fund,2,34,"The city contracted with Homebase to assist with the Neighborhood Business District Support Grant program with Homebase Cincinnati. The program provides support to small businesses and neighborhood serving non-profits. Eligible activities include small business retention, capital investments responding to the pandemic and, support for small business strategic planning. In addition, this contract will provide funding for neighborhood business district infrastructure including, non-profit investment in built environment for small businesses and capital investment in affordable housing.",,,,,
,39061,OH,Cincinatti,city,ARP036,,,,,Public Health,50000,Grant Us Hope,1,14,"City of Cincinnati is currently facing a mental health crisis, and suicide levels are at an all-time high, leading as the cause of death for 10–14-year-olds in Ohio with those living at or below the poverty line 37% more likely to try to end their lives than their peers. The objective of this program is to implement peer-to-peer suicide prevention and mental health awareness programs",,,,,
,39061,OH,Cincinatti,city,ARP037,,,,,Healthy Neighborhoods,1000000,4C Child Care Startup Funding,2,11,"New or expanded high-quality childcare to provide safe and supportive care for children is an important part of COVID-19 recovery in the City of Cincinnati. With the use of ARPA funds Comprehensive Community Child Care Inc. (4C) will continue an existing program to support new and expanding, high-quality childcare programs using 3 primary strategies: o Recruitment/Coaching/Training/Program Coordination/Direct Support o Essential startup trainings o Capacity funding This project is designed to be completed by August 31st, 2023",,,,,
,39061,OH,Cincinatti,city,ARP038,,,,,Public Health,2000000,Children’s Hospital Expansion College Hill,1,4,"Children’s mental health providers have been particularly impacted, with children needing inpatient mental health care not being able to be admitted for a day or longer and having to wait in emergency departments or medical beds, impacting their families’ ability to care for them and work. For periods during the pandemic Children’s Hospital reports performing over 750 mental health care crisis evaluations per month. Children’s Hospital is developing a new facility at its College Hill campus to expand and improve its mental health care capabilities for children and adolescents",,,,,
,39061,OH,Cincinatti,city,ARP051,,,,,Premium Pay,67500000,FY 2022 COVID Expenses,6,1,The City used revenue replacement funds for fire and EMT personnel expenditures.,,,,,
,39061,OH,Cincinatti,city,ARP052,,,,,Revenue Replacement,16631375,FY 2021 Restricted Funds Revenue Replacement,6,1,Revenue replacement funds were used to restore lost revenue to various restricted funds to account for revenue reductions caused by the pandemic.,,,,,
,39061,OH,Cincinatti,city,ARP053,,,,,Premium Pay,4268625,Hazard Pay,4,1,"The City of Cincinnati provided additional compensation to those City employees who have been negatively impacted by the COVID-19 pandemic. Whereas providing funds for additional compensation to City employees improves the economic and general well-being of the employees of the City, which is necessary due to the impacts of the COVID-19 pandemic.",,,,,
,39061,OH,Cincinatti,city,ARP062,,,,,Healthy Neighborhoods,1000000,Women Business Program-Main Street Ventures,2,29,"To respond to the devastating impacts of COVID-19, Main Street Ventures will carry out two (2) distinct programs to support the growth and long-term viability of female-founded startups in our community: Grant Programs and Financial Education Programming. These programs will be fully executed by December 31st, 2024. To date 16 small businesses have been served. Of these 15 businesses 100% of funds were awarded to underrepresented, female founders.",,,,,
