State,County,Allocation,*
Alaska,Hoonah-Angoon Census Area,"$417,224.00 ",*
Alaska,Juneau City and Borough,"$6,210,575.00 ",
Alaska,Kenai Peninsula Borough,"$11,403,341.00 ",
Alaska,Ketchikan Gateway Borough,"$2,700,106.00 ",
Alaska,Kodiak Island Borough,"$2,524,709.00 ",
Alaska,Kusilvak Census Area,"$1,614,897.00 ",*
Alaska,Lake and Peninsula Borough,"$309,227.00 ",
Alaska,Matanuska-Susitna Borough,"$21,039,307.00 ",
Alaska,Nome Census Area,"$1,943,160.00 ",*
Alaska,North Slope Borough,"$1,909,751.00 ",
Alaska,Northwest Arctic Borough,"$1,480,290.00 ",
Alaska,Petersburg Borough,"$634,382.00 ",
Alaska,Prince of Wales-Hyder Census Area,"$1,204,860.00 ",*
Alaska,Sitka City and Borough,"$1,649,666.00 ",
Alaska,Skagway Municipality,"$229,784.00 ",
Alaska,Southeast Fairbanks Census Area,"$1,338,884.00 ",*
Alaska,Valdez-Cordova Census Area,"$1,787,381.00 ",*
Alaska,Wrangell City and Borough,"$485,984.00 ",
Alaska,Yakutat City and Borough,"$112,464.00 ",
Alaska,Yukon-Koyukuk Census Area,"$1,015,866.00 ",*
American Samoa,Eastern District,"$4,473,308.00 ",*
American Samoa,Manu'a District,"$222,014.00 ",*
American Samoa,Rose Island,$0.00 ,*
American Samoa,Swains Island,"$3,302.00 ",*
American Samoa,Western District,"$6,085,291.00 ",*
Arizona,Apache County,"$13,963,207.00 ",
Arizona,Cochise County,"$24,458,872.00 ",
Arizona,Coconino County,"$27,868,531.00 ",
Arizona,Gila County,"$10,492,363.00 ",
Arizona,Graham County,"$7,543,632.00 ",
Arizona,Greenlee County,"$1,844,875.00 ",
Arizona,La Paz County,"$4,099,982.00 ",
Arizona,Maricopa County,"$871,239,088.00 ",
Arizona,Mohave County,"$41,213,672.00 ",
Arizona,Navajo County,"$21,545,687.00 ",
Arizona,Pima County,"$203,421,668.00 ",
Arizona,Pinal County,"$89,891,338.00 ",
Arizona,Santa Cruz County,"$9,031,691.00 ",
Arizona,Yavapai County,"$45,665,225.00 ",
Arizona,Yuma County,"$41,525,619.00 ",
Arkansas,Arkansas County,"$3,396,451.00 ",
Arkansas,Ashley County,"$3,818,142.00 ",
Arkansas,Baxter County,"$8,144,799.00 ",
Arkansas,Benton County,"$54,219,867.00 ",
Arkansas,Boone County,"$7,270,727.00 ",
Arkansas,Bradley County,"$2,090,587.00 ",
Arkansas,Calhoun County,"$1,007,902.00 ",
Arkansas,Carroll County,"$5,512,482.00 ",
Arkansas,Chicot County,"$1,965,303.00 ",
Arkansas,Clark County,"$4,335,398.00 ",
Arkansas,Clay County,"$2,826,361.00 ",
Arkansas,Cleburne County,"$4,840,224.00 ",
Arkansas,Cleveland County,"$1,545,360.00 ",
Arkansas,Columbia County,"$4,556,247.00 ",
Arkansas,Conway County,"$4,049,091.00 ",
Arkansas,Craighead County,"$21,430,698.00 ",
Arkansas,Crawford County,"$12,286,931.00 ",
Arkansas,Crittenden County,"$9,314,697.00 ",
Arkansas,Cross County,"$3,189,198.00 ",
Arkansas,Dallas County,"$1,361,416.00 ",
Arkansas,Desha County,"$2,206,741.00 ",
Arkansas,Drew County,"$3,538,827.00 ",
Arkansas,Faulkner County,"$24,475,383.00 ",
Arkansas,Franklin County,"$3,440,931.00 ",
Arkansas,Fulton County,"$2,423,511.00 ",
Arkansas,Garland County,"$19,304,565.00 ",
Arkansas,Grant County,"$3,547,762.00 ",
Arkansas,Greene County,"$8,803,850.00 ",
Arkansas,Hempstead County,"$4,182,339.00 ",
Arkansas,Hot Spring County,"$6,559,621.00 ",
Arkansas,Howard County,"$2,564,334.00 ",
Arkansas,Independence County,"$7,347,063.00 ",
Arkansas,Izard County,"$2,647,273.00 ",
Arkansas,Jackson County,"$3,247,470.00 ",
Arkansas,Jefferson County,"$12,979,779.00 ",
Arkansas,Johnson County,"$5,162,465.00 ",
Arkansas,Lafayette County,"$1,286,634.00 ",
Arkansas,Lawrence County,"$3,186,673.00 ",
Arkansas,Lee County,"$1,720,368.00 ",
Arkansas,Lincoln County,"$2,529,759.00 ",
Arkansas,Little River County,"$2,381,167.00 ",
Arkansas,Logan County,"$4,169,519.00 ",
Arkansas,Lonoke County,"$14,239,414.00 ",
Arkansas,Madison County,"$3,219,694.00 ",
Arkansas,Marion County,"$3,242,614.00 ",
Arkansas,Miller County,"$8,402,165.00 ",
Arkansas,Mississippi County,"$7,895,980.00 ",
Arkansas,Monroe County,"$1,301,591.00 ",
Arkansas,Montgomery County,"$1,745,425.00 ",
Arkansas,Nevada County,"$1,602,854.00 ",
Arkansas,Newton County,"$1,505,929.00 ",
Arkansas,Ouachita County,"$4,541,679.00 ",
Arkansas,Perry County,"$2,030,761.00 ",
Arkansas,Phillips County,"$3,453,945.00 ",
Arkansas,Pike County,"$2,081,846.00 ",
Arkansas,Poinsett County,"$4,570,038.00 ",
Arkansas,Polk County,"$3,877,773.00 ",
Arkansas,Pope County,"$12,445,235.00 ",
Arkansas,Prairie County,"$1,565,949.00 ",
Arkansas,Pulaski County,"$76,124,117.00 ",
Arkansas,Randolph County,"$3,488,131.00 ",
Arkansas,Saline County,"$23,781,952.00 ",
Arkansas,Scott County,"$1,996,964.00 ",
Arkansas,Searcy County,"$1,530,792.00 ",
Arkansas,Sebastian County,"$24,828,896.00 ",
Arkansas,Sevier County,"$3,303,410.00 ",
Arkansas,Sharp County,"$3,387,904.00 ",
Arkansas,St. Francis County,"$4,854,791.00 ",
Arkansas,Stone County,"$2,429,144.00 ",
Arkansas,Union County,"$7,513,525.00 ",
Arkansas,Van Buren County,"$3,213,672.00 ",
Arkansas,Washington County,"$46,459,271.00 ",
Arkansas,White County,"$15,296,847.00 ",
Arkansas,Woodruff County,"$1,227,586.00 ",
Arkansas,Yell County,"$4,145,239.00 ",
California,Alameda County,"$324,636,065.00 ",
California,Alpine County,"$219,295.00 ",
California,Amador County,"$7,721,360.00 ",
California,Butte County,"$42,574,311.00 ",
California,Calaveras County,"$8,916,508.00 ",
California,Colusa County,"$4,185,252.00 ",
California,Contra Costa County,"$224,058,903.00 ",
California,Del Norte County,"$5,402,155.00 ",
California,El Dorado County,"$37,457,492.00 ",
California,Fresno County,"$194,063,657.00 ",
California,Glenn County,"$5,515,007.00 ",
California,Humboldt County,"$26,330,552.00 ",
California,Imperial County,"$35,198,889.00 ",
California,Inyo County,"$3,503,864.00 ",
California,Kern County,"$174,853,685.00 ",
California,Kings County,"$29,706,802.00 ",
California,Lake County,"$12,506,226.00 ",
California,Lassen County,"$5,938,447.00 ",
California,Los Angeles County,"$1,949,978,847.00 ",
California,Madera County,"$30,558,925.00 ",
California,Marin County,"$50,273,916.00 ",
California,Mariposa County,"$3,341,481.00 ",
California,Mendocino County,"$16,849,976.00 ",
California,Merced County,"$53,936,085.00 ",
California,Modoc County,"$1,717,261.00 ",
California,Mono County,"$2,805,578.00 ",
California,Monterey County,"$84,311,261.00 ",
California,Napa County,"$26,755,157.00 ",
California,Nevada County,"$19,376,239.00 ",
California,Orange County,"$616,840,943.00 ",
California,Placer County,"$77,370,739.00 ",
California,Plumas County,"$3,653,039.00 ",
California,Riverside County,"$479,874,599.00 ",
California,Sacramento County,"$301,469,072.00 ",
California,San Benito County,"$12,199,718.00 ",
California,San Bernardino County,"$423,455,955.00 ",
California,San Diego County,"$648,431,468.00 ",
California,San Francisco County,"$171,230,559.00 ",
California,San Joaquin County,"$148,038,314.00 ",
California,San Luis Obispo County,"$54,990,993.00 ",
California,San Mateo County,"$148,897,819.00 ",
California,Santa Barbara County,"$86,727,196.00 ",
California,Santa Clara County,"$374,462,651.00 ",
California,Santa Cruz County,"$53,068,422.00 ",
California,Shasta County,"$34,978,429.00 ",
California,Sierra County,"$583,686.00 ",
California,Siskiyou County,"$8,456,940.00 ",
California,Solano County,"$86,949,405.00 ",
California,Sonoma County,"$96,018,973.00 ",
California,Stanislaus County,"$106,959,250.00 ",
California,Sutter County,"$18,835,480.00 ",
California,Tehama County,"$12,641,804.00 ",
California,Trinity County,"$2,386,217.00 ",
California,Tulare County,"$90,552,914.00 ",
California,Tuolumne County,"$10,581,713.00 ",
California,Ventura County,"$164,326,748.00 ",
California,Yolo County,"$42,829,540.00 ",
California,Yuba County,"$15,280,337.00 ",
Colorado,Adams County,"$100,502,964.00 ",
Colorado,Alamosa County,"$3,153,070.00 ",
Colorado,Arapahoe County,"$127,534,910.00 ",
Colorado,Archuleta County,"$2,724,969.00 ",
Colorado,Baca County,"$695,567.00 ",
Colorado,Bent County,"$1,083,267.00 ",
Colorado,Boulder County,"$63,359,749.00 ",
Colorado,Broomfield County,"$13,687,000.00 ",
Colorado,Chaffee County,"$3,953,914.00 ",
Colorado,Cheyenne County,"$355,650.00 ",
Colorado,Clear Creek County,"$1,884,111.00 ",
Colorado,Conejos County,"$1,593,725.00 ",
Colorado,Costilla County,"$755,004.00 ",
Colorado,Crowley County,"$1,177,278.00 ",
Colorado,Custer County,"$984,400.00 ",
Colorado,Delta County,"$6,052,853.00 ",
Colorado,Denver County,"$141,252,212.00 ",
Colorado,Dolores County,"$399,160.00 ",
Colorado,Douglas County,"$68,207,548.00 ",
Colorado,Eagle County,"$10,707,773.00 ",
Colorado,El Paso County,"$139,929,837.00 ",
Colorado,Elbert County,"$5,191,795.00 ",
Colorado,Fremont County,"$9,292,165.00 ",
Colorado,Garfield County,"$11,666,145.00 ",
Colorado,Gilpin County,"$1,212,630.00 ",
Colorado,Grand County,"$3,056,145.00 ",
Colorado,Gunnison County,"$3,391,789.00 ",
Colorado,Hinsdale County,"$159,275.00 ",
Colorado,Huerfano County,"$1,339,661.00 ",
Colorado,Jackson County,"$270,380.00 ",
Colorado,Jefferson County,"$113,217,801.00 ",
Colorado,Kiowa County,"$273,099.00 ",
Colorado,Kit Carson County,"$1,378,509.00 ",
Colorado,La Plata County,"$10,920,270.00 ",
Colorado,Lake County,"$1,578,574.00 ",
Colorado,Larimer County,"$69,323,447.00 ",
Colorado,Las Animas County,"$2,817,620.00 ",
Colorado,Lincoln County,"$1,107,352.00 ",
Colorado,Logan County,"$4,352,686.00 ",
Colorado,Mesa County,"$29,953,485.00 ",
Colorado,Mineral County,"$149,369.00 ",
Colorado,Moffat County,"$2,580,067.00 ",
Colorado,Montezuma County,"$5,085,741.00 ",
Colorado,Montrose County,"$8,305,240.00 ",
Colorado,Morgan County,"$5,646,118.00 ",
Colorado,Otero County,"$3,550,287.00 ",
Colorado,Ouray County,"$961,868.00 ",
Colorado,Park County,"$3,660,420.00 ",
Colorado,Phillips County,"$828,426.00 ",
Colorado,Pitkin County,"$3,451,031.00 ",
Colorado,Prowers County,"$2,364,268.00 ",
Colorado,Pueblo County,"$32,714,388.00 ",
Colorado,Rio Blanco County,"$1,228,363.00 ",
Colorado,Rio Grande County,"$2,188,483.00 ",
Colorado,Routt County,"$4,979,881.00 ",
Colorado,Saguache County,"$1,325,482.00 ",
Colorado,San Juan County,"$141,405.00 ",
Colorado,San Miguel County,"$1,588,675.00 ",
Colorado,Sedgwick County,"$436,648.00 ",
Colorado,Summit County,"$6,023,523.00 ",
Colorado,Teller County,"$4,931,321.00 ",
Colorado,Washington County,"$953,321.00 ",
Colorado,Weld County,"$63,028,767.00 ",
Colorado,Yuma County,"$1,946,073.00 ",
Connecticut,Fairfield County,"$183,231,182.00 ",*
Connecticut,Hartford County,"$173,206,156.00 ",*
Connecticut,Litchfield County,"$35,027,571.00 ",*
Connecticut,Middlesex County,"$31,551,289.00 ",*
Connecticut,New Haven County,"$166,026,527.00 ",*
Connecticut,New London County,"$51,513,156.00 ",*
Connecticut,Tolland County,"$29,275,787.00 ",*
Connecticut,Windham County,"$22,683,534.00 ",*
Delaware,Kent County,"$35,115,561.00 ",
Delaware,New Castle County,"$108,531,220.00 ",
Delaware,Sussex County,"$45,495,460.00 ",
District of Columbia,District of Columbia,"$137,083,470.00 ",
Florida,Alachua County,"$52,258,449.00 ",
Florida,Baker County,"$5,673,700.00 ",
Florida,Bay County,"$33,934,398.00 ",
Florida,Bradford County,"$5,477,714.00 ",
Florida,Brevard County,"$116,920,177.00 ",
Florida,Broward County,"$379,304,234.00 ",
Florida,Calhoun County,"$2,739,731.00 ",
Florida,Charlotte County,"$36,693,553.00 ",
Florida,Citrus County,"$29,069,118.00 ",
Florida,Clay County,"$42,587,131.00 ",
Florida,Collier County,"$74,762,701.00 ",
Florida,Columbia County,"$13,924,165.00 ",
Florida,DeSoto County,"$7,381,249.00 ",
Florida,Dixie County,"$3,268,253.00 ",
Florida,Duval County,"$186,032,681.00 ",
Florida,Escambia County,"$61,829,151.00 ",
Florida,Flagler County,"$22,353,135.00 ",
Florida,Franklin County,"$2,355,139.00 ",
Florida,Gadsden County,"$8,868,920.00 ",
Florida,Gilchrist County,"$3,609,336.00 ",
Florida,Glades County,"$2,682,625.00 ",
Florida,Gulf County,"$2,649,216.00 ",
Florida,Hamilton County,"$2,802,470.00 ",
Florida,Hardee County,"$5,232,196.00 ",
Florida,Hendry County,"$8,162,281.00 ",
Florida,Hernando County,"$37,666,687.00 ",
Florida,Highlands County,"$20,632,184.00 ",
Florida,Hillsborough County,"$285,912,528.00 ",
Florida,Holmes County,"$3,810,372.00 ",
Florida,Indian River County,"$31,063,168.00 ",
Florida,Jackson County,"$9,015,375.00 ",
Florida,Jefferson County,"$2,767,118.00 ",
Florida,Lafayette County,"$1,635,875.00 ",
Florida,Lake County,"$71,308,368.00 ",
Florida,Lee County,"$149,675,549.00 ",
Florida,Leon County,"$57,024,862.00 ",
Florida,Levy County,"$8,061,471.00 ",
Florida,Liberty County,"$1,622,667.00 ",
Florida,Madison County,"$3,592,048.00 ",
Florida,Manatee County,"$78,327,168.00 ",
Florida,Marion County,"$71,009,435.00 ",
Florida,Martin County,"$31,272,363.00 ",
Florida,Miami-Dade County,"$527,733,745.00 ",
Florida,Monroe County,"$14,417,919.00 ",
Florida,Nassau County,"$17,214,367.00 ",
Florida,Okaloosa County,"$40,933,386.00 ",
Florida,Okeechobee County,"$8,190,640.00 ",
Florida,Orange County,"$270,661,716.00 ",
Florida,Osceola County,"$72,985,227.00 ",
Florida,Palm Beach County,"$290,730,026.00 ",
Florida,Pasco County,"$107,597,711.00 ",
Florida,Pinellas County,"$189,381,543.00 ",
Florida,Polk County,"$140,779,436.00 ",
Florida,Putnam County,"$14,474,831.00 ",
Florida,Santa Rosa County,"$35,800,640.00 ",
Florida,Sarasota County,"$84,249,299.00 ",
Florida,Seminole County,"$91,646,669.00 ",
Florida,St. Johns County,"$51,409,433.00 ",
Florida,St. Lucie County,"$63,767,844.00 ",
Florida,Sumter County,"$25,721,033.00 ",
Florida,Suwannee County,"$8,627,482.00 ",
Florida,Taylor County,"$4,189,525.00 ",
Florida,Union County,"$2,959,609.00 ",
Florida,Volusia County,"$107,468,931.00 ",
Florida,Wakulla County,"$6,553,405.00 ",
Florida,Walton County,"$14,387,423.00 ",
Florida,Washington County,"$4,947,832.00 ",
Georgia,Appling County,"$3,571,265.00 ",
Georgia,Atkinson County,"$1,585,956.00 ",
Georgia,Bacon County,"$2,168,476.00 ",
Georgia,Baker County,"$590,096.00 ",
Georgia,Baldwin County,"$8,719,356.00 ",
Georgia,Banks County,"$3,735,979.00 ",
Georgia,Barrow County,"$16,168,394.00 ",
Georgia,Bartow County,"$20,926,843.00 ",
Georgia,Ben Hill County,"$3,243,779.00 ",
Georgia,Berrien County,"$3,767,640.00 ",
Georgia,Bibb County,"$29,749,340.00 ",
Georgia,Bleckley County,"$2,500,429.00 ",
Georgia,Brantley County,"$3,711,699.00 ",
Georgia,Brooks County,"$3,002,341.00 ",
Georgia,Bryan County,"$7,697,080.00 ",
Georgia,Bulloch County,"$15,462,921.00 ",
Georgia,Burke County,"$4,347,635.00 ",
Georgia,Butts County,"$4,843,526.00 ",
Georgia,Calhoun County,"$1,202,141.00 ",
Georgia,Camden County,"$10,618,230.00 ",
Georgia,Candler County,"$2,098,356.00 ",
Georgia,Carroll County,"$23,307,039.00 ",
Georgia,Catoosa County,"$13,126,623.00 ",
Georgia,Charlton County,"$2,601,239.00 ",
Georgia,Chatham County,"$56,218,385.00 ",
Georgia,Chattahoochee County,"$2,118,557.00 ",
Georgia,Chattooga County,"$4,814,973.00 ",
Georgia,Cherokee County,"$50,263,622.00 ",
Georgia,Clarke County,"$24,926,792.00 ",
Georgia,Clay County,"$550,471.00 ",
Georgia,Clayton County,"$66,847,995.00 ",
Georgia,Clinch County,"$1,285,469.00 ",
Georgia,Cobb County,"$147,648,478.00 ",
Georgia,Coffee County,"$8,405,273.00 ",
Georgia,Colquitt County,"$8,857,265.00 ",
Georgia,Columbia County,"$30,439,857.00 ",
Georgia,Cook County,"$3,354,495.00 ",
Georgia,Coweta County,"$28,846,132.00 ",
Georgia,Crawford County,"$2,409,332.00 ",
Georgia,Crisp County,"$4,345,499.00 ",
Georgia,Dade County,"$3,130,344.00 ",
Georgia,Dawson County,"$5,071,173.00 ",
Georgia,DeKalb County,"$147,484,541.00 ",
Georgia,Decatur County,"$5,128,667.00 ",
Georgia,Dodge County,"$4,002,280.00 ",
Georgia,Dooly County,"$2,600,851.00 ",
Georgia,Dougherty County,"$17,084,422.00 ",
Georgia,Douglas County,"$28,425,412.00 ",
Georgia,Early County,"$1,979,288.00 ",
Georgia,Echols County,"$778,119.00 ",
Georgia,Effingham County,"$12,488,744.00 ",
Georgia,Elbert County,"$3,728,209.00 ",
Georgia,Emanuel County,"$4,398,720.00 ",
Georgia,Evans County,"$2,069,415.00 ",
Georgia,Fannin County,"$5,086,712.00 ",
Georgia,Fayette County,"$22,224,938.00 ",
Georgia,Floyd County,"$19,132,082.00 ",
Georgia,Forsyth County,"$47,443,088.00 ",
Georgia,Franklin County,"$4,535,270.00 ",
Georgia,Fulton County,"$206,657,290.00 ",
Georgia,Gilmer County,"$6,093,061.00 ",
Georgia,Glascock County,"$577,082.00 ",
Georgia,Glynn County,"$16,566,971.00 ",
Georgia,Gordon County,"$11,258,633.00 ",
Georgia,Grady County,"$4,784,671.00 ",
Georgia,Greene County,"$3,559,222.00 ",
Georgia,Gwinnett County,"$181,855,587.00 ",
Georgia,Habersham County,"$8,804,433.00 ",
Georgia,Hall County,"$39,710,268.00 ",
Georgia,Hancock County,"$1,642,673.00 ",
Georgia,Haralson County,"$5,786,747.00 ",
Georgia,Harris County,"$6,844,180.00 ",
Georgia,Hart County,"$5,090,014.00 ",
Georgia,Heard County,"$2,315,903.00 ",
Georgia,Henry County,"$45,560,724.00 ",
Georgia,Houston County,"$30,663,037.00 ",
Georgia,Irwin County,"$1,828,948.00 ",
Georgia,Jackson County,"$14,174,927.00 ",
Georgia,Jasper County,"$2,761,874.00 ",
Georgia,Jeff Davis County,"$2,935,912.00 ",
Georgia,Jefferson County,"$2,983,888.00 ",
Georgia,Jenkins County,"$1,685,211.00 ",
Georgia,Johnson County,"$1,873,040.00 ",
Georgia,Jones County,"$5,581,437.00 ",
Georgia,Lamar County,"$3,705,484.00 ",
Georgia,Lanier County,"$2,024,546.00 ",
Georgia,Laurens County,"$9,235,253.00 ",
Georgia,Lee County,"$5,825,594.00 ",
Georgia,Liberty County,"$11,933,029.00 ",
Georgia,Lincoln County,"$1,538,561.00 ",
Georgia,Long County,"$3,799,106.00 ",
Georgia,Lowndes County,"$22,804,739.00 ",
Georgia,Lumpkin County,"$6,528,348.00 ",
Georgia,Macon County,"$2,514,803.00 ",
Georgia,Madison County,"$5,803,840.00 ",
Georgia,Marion County,"$1,623,638.00 ",
Georgia,McDuffie County,"$4,139,606.00 ",
Georgia,McIntosh County,"$2,792,758.00 ",
Georgia,Meriwether County,"$4,111,442.00 ",
Georgia,Miller County,"$1,110,654.00 ",
Georgia,Mitchell County,"$4,246,631.00 ",
Georgia,Monroe County,"$5,356,703.00 ",
Georgia,Montgomery County,"$1,781,553.00 ",
Georgia,Morgan County,"$3,744,137.00 ",
Georgia,Murray County,"$7,788,178.00 ",
Georgia,Muscogee County,"$38,025,833.00 ",
Georgia,Newton County,"$21,704,962.00 ",
Georgia,Oconee County,"$7,823,918.00 ",
Georgia,Oglethorpe County,"$2,963,882.00 ",
Georgia,Paulding County,"$32,761,587.00 ",
Georgia,Peach County,"$5,350,488.00 ",
Georgia,Pickens County,"$6,330,420.00 ",
Georgia,Pierce County,"$3,780,848.00 ",
Georgia,Pike County,"$3,683,146.00 ",
Georgia,Polk County,"$8,277,076.00 ",
Georgia,Pulaski County,"$2,163,232.00 ",
Georgia,Putnam County,"$4,296,356.00 ",
Georgia,Quitman County,"$446,554.00 ",
Georgia,Rabun County,"$3,328,661.00 ",
Georgia,Randolph County,"$1,316,547.00 ",
Georgia,Richmond County,"$39,336,747.00 ",
Georgia,Rockdale County,"$17,655,482.00 ",
Georgia,Schley County,"$1,021,111.00 ",
Georgia,Screven County,"$2,712,732.00 ",
Georgia,Seminole County,"$1,571,388.00 ",
Georgia,Spalding County,"$12,956,276.00 ",
Georgia,Stephens County,"$5,035,627.00 ",
Georgia,Stewart County,"$1,286,052.00 ",
Georgia,Sumter County,"$5,734,691.00 ",
Georgia,Talbot County,"$1,203,306.00 ",
Georgia,Taliaferro County,"$298,544.00 ",
Georgia,Tattnall County,"$4,911,509.00 ",
Georgia,Taylor County,"$1,557,791.00 ",
Georgia,Telfair County,"$3,080,619.00 ",
Georgia,Terrell County,"$1,657,047.00 ",
Georgia,Thomas County,"$8,634,086.00 ",
Georgia,Tift County,"$7,894,621.00 ",
Georgia,Toombs County,"$5,211,413.00 ",
Georgia,Towns County,"$2,338,046.00 ",
Georgia,Treutlen County,"$1,340,438.00 ",
Georgia,Troup County,"$13,581,529.00 ",
Georgia,Turner County,"$1,550,993.00 ",
Georgia,Twiggs County,"$1,577,215.00 ",
Georgia,Union County,"$4,760,974.00 ",
Georgia,Upson County,"$5,112,351.00 ",
Georgia,Walker County,"$13,550,256.00 ",
Georgia,Walton County,"$18,373,581.00 ",
Georgia,Ware County,"$6,940,911.00 ",
Georgia,Warren County,"$1,020,528.00 ",
Georgia,Washington County,"$3,957,411.00 ",
Georgia,Wayne County,"$5,812,969.00 ",
Georgia,Webster County,"$506,379.00 ",
Georgia,Wheeler County,"$1,525,742.00 ",
Georgia,White County,"$5,982,150.00 ",
Georgia,Whitfield County,"$20,322,762.00 ",
Georgia,Wilcox County,"$1,677,248.00 ",
Georgia,Wilkes County,"$1,899,068.00 ",
Georgia,Wilkinson County,"$1,739,210.00 ",
Georgia,Worth County,"$3,932,742.00 ",
Guam,Guam,"$32,660,972.00 ",
Hawaii,Hawaii County,"$39,141,538.00 ",
Hawaii,Honolulu County,"$189,297,438.00 ",
Hawaii,Kalawao County,"$16,704.00 ",
Hawaii,Kauai County,"$14,042,068.00 ",
Hawaii,Maui County,"$32,518,790.00 ",
Idaho,Ada County,"$93,542,629.00 ",
Idaho,Adams County,"$834,059.00 ",
Idaho,Bannock County,"$17,055,675.00 ",
Idaho,Bear Lake County,"$1,189,709.00 ",
Idaho,Benewah County,"$1,806,027.00 ",
Idaho,Bingham County,"$9,092,488.00 ",
Idaho,Blaine County,"$4,471,559.00 ",
Idaho,Boise County,"$1,521,080.00 ",
Idaho,Bonner County,"$8,884,265.00 ",
Idaho,Bonneville County,"$23,126,398.00 ",
Idaho,Boundary County,"$2,378,448.00 ",
Idaho,Butte County,"$504,437.00 ",
Idaho,Camas County,"$214,828.00 ",
Idaho,Canyon County,"$44,645,474.00 ",
Idaho,Caribou County,"$1,389,775.00 ",
Idaho,Cassia County,"$4,667,546.00 ",
Idaho,Clark County,"$164,131.00 ",
Idaho,Clearwater County,"$1,700,750.00 ",
Idaho,Custer County,"$838,138.00 ",
Idaho,Elmore County,"$5,343,689.00 ",
Idaho,Franklin County,"$2,695,250.00 ",
Idaho,Fremont County,"$2,544,327.00 ",
Idaho,Gem County,"$3,518,044.00 ",
Idaho,Gooding County,"$2,948,343.00 ",
Idaho,Idaho County,"$3,237,369.00 ",
Idaho,Jefferson County,"$5,802,092.00 ",
